query_id,search_date,pmid,pmcid,doi,title,authorString,journalTitle,pubYear,firstPublicationDate,isOpenAccess,source
Q3_amr_core,2026-09-05,42108632,PMC13158128,10.1093/bib/bbag219,"Computational paradigms for antimicrobial resistance prediction: integrating multi-omics, structural modeling, and foundation artificial intelligence systems.","Hossain E, Yousefi N.",,2026,2026-05-01,Y,MED
Q3_amr_core,2026-09-05,42485224,PMC13437014,10.1093/bioinformatics/btag545,ALPAR: automated learning pipeline for antimicrobial resistance.,"Yurtseven A, Joeres R, Kalinina OV.",,2026,2026-08-01,Y,MED
Q3_amr_core,2026-09-05,42196654,PMC13207280,10.3390/ijerph23050561,Integrating Phenotypic and Genomic Data with Machine Learning to Predict Antimicrobial Resistance and Identify Genetic Biomarkers in &lt;i&gt;E. coli&lt;/i&gt;.,"Adeyemi SH, Paudel R.",,2026,2026-04-27,Y,MED
Q3_amr_core,2026-09-05,42353723,PMC13295586,10.3390/antibiotics15060599,"Can Artificial Intelligence Transform Early Warning for Antimicrobial-Resistant Outbreak Clones? Approaches, Gaps, and Opportunities: A Scoping Review.","Tempesta AA, Chines E, Boscarelli L, Parisi MF, Marcoccia L, Capillo A, Mezzatesta ML, Ledda C, Chessari M, Cafiso V.",,2026,2026-06-12,Y,MED
Q3_amr_core,2026-09-05,,,10.21203/rs.3.rs-10478855/v2,Artificial Intelligence and Machine Learning Applications in Antimicrobial Resistance Research: A Systematic Review,Roy D.,,2026,2026-08-28,N,PPR
Q3_amr_core,2026-09-05,42487707,PMC13388253,10.3389/fmicb.2026.1882753,Genomic-island cassette architecture provides interpretable signal for exploratory classification of poultry-associated &lt;i&gt;Enterococcus cecorum&lt;/i&gt; lineages.,"Lagad RR, Rafi S, Goswami A.",,2026,2026-07-08,Y,MED
Q3_amr_core,2026-09-05,42558575,PMC13437962,10.3389/fmicb.2026.1828991,Whole-genome sequencing reveals lineage-associated drug resistance and enables machine learning-based prediction in &lt;i&gt;Mycobacterium tuberculosis&lt;/i&gt; clinical isolates.,"Hao Z, Wu C, Peng Y, Zhou L, Li J, Zou X.",,2026,2026-07-22,Y,MED
Q3_amr_core,2026-09-05,42192691,PMC13203839,10.3390/antibiotics15050469,Next-Generation Target Discovery in ESKAPE Pathogens: An AI-Driven Framework from Omics-Based to Systems-Level Modeling and Clinical Translation.,"Chines E, Tempesta AA, Boscarelli L, Parisi MF, Marcoccia L, Capillo A, Mezzatesta ML, Ledda C, Chessari M, Cafiso V.",,2026,2026-05-06,Y,MED
Q3_amr_core,2026-09-05,42095666,PMC13228011,10.1128/spectrum.02592-25,KEGG orthology-based machine learning reveals functional determinants of antimicrobial resistance in &lt;i&gt;Acinetobacter baumannii&lt;/i&gt;.,"Zheng Z, Jiang B, Shenkutie AM, Bian J, Yan Y, Pi R, Xiong Q, Leung PH-M.",,2026,2026-05-07,Y,MED
Q3_amr_core,2026-09-05,,,10.21203/rs.3.rs-10478855/v1,Artificial Intelligence and Machine Learning Applications in Antimicrobial Resistance Research: A Systematic Review,Roy D.,,2026,2026-07-28,N,PPR
Q3_amr_core,2026-09-05,42149609,PMC13274384,10.1128/aem.02525-25,"Global whole-genome, phylodynamic, and machine-learning analysis of &lt;i&gt;Glaesserella parasuis&lt;/i&gt; serovars 2, 5, and 12.","Xu Z, Peng J, Wu Y, Du H, Chen J, Hong Q, Wu P, Xu C, Peng Z, Zhang J.",,2026,2026-05-18,Y,MED
Q3_amr_core,2026-09-05,42218717,PMC13222522,10.1093/bib/bbag269,"Artificial intelligence for antimicrobial resistance: advancing reproducibility, interpretability, and clinical deployment.","Sardar S, Dash S, Roychowdhury P, Solanki J, Sikdar P, Thangappan J, Dutta S.",,2026,2026-05-01,Y,MED
Q3_amr_core,2026-09-05,42123724,PMC13164103,10.3390/ijms27094148,"Improving the Precision of Etiological Diagnosis in Bacterial Infections Using Molecular Technologies: A Comparative Analysis of Platforms, AI Integration, and Point-of-Care Deployment.","Cotelici AM, Bălășoiu AT, Boldeanu MV, Assani MZ, Novac MB, Boldeanu L, Ghenea AE.",,2026,2026-05-06,Y,MED
Q3_amr_core,2026-09-05,42261281,PMC13242821,10.2147/idr.s614240,Artificial Intelligence for Antimicrobial Resistance Detection and Prediction in &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt;: A Systematic Review of Clinical Microbiology Applications.,"Aggarwal RV, Shah N, Wong JJE, Dajani Z.",,2026,2026-06-03,Y,MED
Q3_amr_core,2026-09-05,41694508,PMC12894283,10.3389/fpubh.2026.1757161,Integrating artificial intelligence with genome sequencing against antimicrobial resistance: a narrative review.,"Scaglione G, Mastroianni N, Rizzo A, Palomba E, Carcione D, Brigante G, Principe L, Colaneri M, Gori A, Borgonovo F.",,2026,2026-01-29,Y,MED
Q3_amr_core,2026-09-05,41231537,PMC12614359,10.1099/mic.0.001629,Microbial Primer: Artificial intelligence for microbiologists.,"Cao H, de la Fuente-Nunez C.",,2025,2025-11-01,Y,MED
Q3_amr_core,2026-09-05,42131209,PMC13160890,10.3389/fmicb.2026.1842717,Utilizing whole genome sequencing data for machine learning driven prediction of antibiotic resistance in &lt;i&gt;Escherichia coli&lt;/i&gt;.,"Wan F, Tong W, Wu W, Liu J, Huang H, Zhang P, Jiang W.",,2026,2026-04-28,Y,MED
Q3_amr_core,2026-09-05,42558410,PMC13437487,10.3389/fcimb.2026.1901030,A mini review of genome-predicted β-lactam susceptibility in &lt;i&gt;Streptococcus pneumoniae&lt;/i&gt;: from PBP profiles to potential clinical interpretation.,"Yan Z, Liu L, Ren Y, Ling J, Liao J, Liu X, Li Y, Wang X, Kuang L, Zhou W, Jiang Y, Cui Y.",,2026,2026-07-22,Y,MED
Q3_amr_core,2026-09-05,42683100,,10.1093/bioadv/vbag193,A leakage-aware genomic prediction pipeline for meropenem resistance in &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; using transformer-based resistome representation learning.,Kervancı İS.,,2026,2026-07-29,N,MED
Q3_amr_core,2026-09-05,42122064,PMC13164157,10.3390/diagnostics16091360,"Meat-Borne Bacterial Pathogen Detection: Conventional, Molecular and Emerging AI-Based Strategies.","Hussain A, Abbas Q, Nadeem M, Nazar A, Athar A, Rahman HUU.",,2026,2026-04-30,Y,MED
Q3_amr_core,2026-09-05,41792137,PMC13087051,10.1038/s41467-026-69934-8,AMR-GNN: a multi-representation graph neural network framework to enable genomic antimicrobial resistance prediction.,"Nguyen HA, Peleg AY, Wisniewski JA, Wang X, Wang Z, Blakeway LV, Badoordeen GZ, Theegala R, Doan NQ, Parker MH, Green AG, Song J, Dowe DL, Macesic N.",,2026,2026-03-06,Y,MED
Q3_amr_core,2026-09-05,41401143,PMC12707637,10.1371/journal.pbio.3003539,Biased sampling driven by bacterial population structure confounds machine learning prediction of antimicrobial resistance.,"Yu Y, Wheeler NE, Barquist L.",,2025,2025-12-16,Y,MED
Q3_amr_core,2026-09-05,42272257,PMC13254488,10.1002/mbo3.70323,"Integrative Modular, Network-Based, and Machine Learning Framework for Predicting Accessory Genome Functions and Virulence in Escherichia coli O157:H7.","Gambushe SM, Zishiri OT.",,2026,2026-06-01,Y,MED
Q3_amr_core,2026-09-05,42553092,PMC13433224,10.3389/fcimb.2026.1824160,Metagenomic next-generation sequencing: new horizons in microbiology.,"Guo N, Chen S, Guo L, Qiu X, Li Z.",,2026,2026-07-21,Y,MED
Q3_amr_core,2026-09-05,,,10.21203/rs.3.rs-9148578/v1,Genomic and Machine Learning Approaches for Predicting Antimicrobial Resistance: A One Health Scoping Review in Low- and Middle-Income Countries,"Kimera Z, Mtebe M, kibwana u, masoud s, Kamori D, mbugi e, Matee MI.",,2026,2026-03-18,N,PPR
